					2018/12/05	2018/12/05	2018/12/13	2018/12/13	2018/12/13	2018/12/13	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/30	2019/01/31	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/07	2019/03/27	2019/03/27	2019/03/27	2019/03/28	2019/03/28	2019/03/28	2019/04/16	2019/04/16	2019/04/17	2019/04/17	2019/05/14	2019/05/15	2019/06/18	2019/06/18	2019/06/18	2019/07/16	2019/07/16	2019/07/16	2019/07/16	2019/07/17	2019/07/17	2019/07/18
					GOVERNANCE	GOVERNANCE	BUSINESS	BUSINESS	TRANSIT	TRANSIT	HOUSING	HOUSING	HOUSING	HOUSING	CYCLING	HOUSING	HOUSING	GOVERNANCE	CHILD CARE	TRANSIT	TAXES	POLICING / LIBRARY	POLICING / ENVIRONMENT	GOVERNANCE	HOUSING	RECREATION	HOUSING	RECREATION	RECREATION	GOVERNANCE	ENVIRONMENT	TRANSIT	TRANSIT	TRANSIT	HOUSING	POVERTY	HOUSING	TRANSIT	TRANSIT	TRANSIT	TRANSIT	BUDGET	PLANNING	GOVERNANCE	TRANSIT	POLICING	HOUSING	HOUSING	PEDESTRIAN SAFETY	PEDESTRIAN SAFETY	CYCLING	CYCLING	MOBILITY
	Member of Council	Title	Ford Nation Percentage	Team Tory Percentage	Establish new councillor staffing budgets at 1.5 times 2018 rate, freeze office budgets	Establish new councillor staffing budgets at 2 times 2018 rate, increase office budgets 	Allow cannabis retail stores to operate in Toronto	Don't request report on whether City could get exclusive rights to operate cannabis retail	Extend the King Street Transit Pilot to July 2019 to allow for further evaluation	Reaffirm support for City owning TTC, no subway upload	Don't increase affordability targets in Housing Now plan so that 50% of units are affordable	Do not ensure there will be at least one public sector bid as part of Housing Now process	Impose rent control on Housing Now sites	Adopt Housing Now plan to devote 11 city-owned sites for affordable housing	Make Richmond-Adelaide bike lanes permanent	Do not declare homelessness a human rights disaster akin to a municipal emergency	Do not affirm housing as a human right	Continue legal fight against provincial cut to the size of council	Do not increase residential property taxes by additional 0.161% to fund child care subsidies	Do not raise residential property taxes by additional 0.842% to stop TTC fare increase	Do not request a report on bringing back the Vehicle Registration Tax	Do not reduce police budget by $3.35M and use funds to expand library hours	Do not reduce police budget by $250K and use funds to implement TransformTO	Do not increase Integrity Commissioner office budget by $190K, funded by parking dividend	Do not increase budget for Rent Bank program by $70K	Increase parks budget by $160K to fund access program at Regetn Park Aquatic Centre	Do not spend $135.5K to expand Tenant Hotline program	Do not spend $1.055M to add five Enhanced Youth Spaces, funded through vehicle reserve funds	Do not spend $390K to add three Youth Hubs at libraries, funded by vehicle reserve funds	Request report on harmonizing sidewalk snow clearing & internalizing snow clearing operations	Begin phasing out subsidies for industrial sewer waste	Continue negotiations with Province re: transit uploading	Do not include preamble on all communications with Province indicating city is negotiating transit upload under protest	Request City Manager implement public info campaign re: Council's opposition to transit upload	Do not allow all secondary suites to have front door entrances	Loosen zoning regulations for shelters by removing distance requirements	Request report on adding land transfer tax bracket to pay for housing subsidies	Don't remove King Street Pilot restrictions nights and weekends	Make the King Street Pilot permanent	Review new provincial transit plan and consider endorsing it	Maintain support for Scarborough Subway and not an LRT option with future connection to Malvern	Request the provincial government reverse in-year cuts to Toronto's 2019 budget	Oppose Bill 108, including the return of OMB powers	Limit bidders on some construction jobs to approved unions	Continue negotiating with the provincial government on upload of the TTC subway system	Request federal and provincial governments ban the sale of handguns and ammunition in Toronto	Require Council approval before selling or transferring TCHC land	Break up TCHC and create new Seniors Housing Corporation	Give councillors/committee ability to override staff authority to install sidewalks	Approve Vision Zero 2.0 with lower speed limits	Conduct study on adding bike lanes on University Avenue	Do not conduct study on bringing back bike lanes on Jarvis Street	Do not ban Uber, Lyft and other PTCs from operating in Toronto
		2010-2014	2014-2018	CC1.1 (M1)	CC1.1 (M3a)	CC1.4 (M5b)	CC1.4 (M6)	CC1.5	CC1.6 (M1, 1)	EX1.1 (M3a)	EX1.1 (M5a)	EX1.1 (M7a)	EX1.1	IE1.5	PH1.2 (M1, 1)	PH1.2 (M1,2)	CC2.2 (M1)	EX2.1 (M2a)	EX2.1 (M2c)	EX2.5 (M2a)	EX2.5 (M6a)	EX2.5 (M6b)	EX2.5 (M6e)	EX2.5 (M8c)	EX2.5 (M8d)	EX2.5 (M10a)	EX2.5 (M10b)	EX2.5 (M10c)	EX2.5 (M8b)	EX2.2 (M1)	EX3.1 (M1,2)	EX3.1 (M3)	EX3.12 (M2, REVOTE)	PH3.1 (M2, REVOTE)	PH3.2	MM5.2	EX4.2 (M1a)	EX4.2	EX4.1 (M1a)	EX4.1 (M2)	MM7.13 (M1)	CC7.3 (M1a)	EX6.3 (M1)	EX6.5 (M1)	EX6.7	EX7.1 (M2)	EX7.1	IE6.8 (M14c)	IE6.8	IE6.11 (9)	IE6.12 (M1)	GL6.31 (M2)
01	John Tory	Mayor of Toronto	NEW	100.00%	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
02	Jennifer McKelvie	Ward 25 Scarborough-Rouge Park		NEW	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
03	Ana Bailão	Ward 9 Davenport	29.63%	78.86%	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Absent	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	Yes	Yes	Yes	Yes	Yes	Yes
04	Gary Crawford	Ward 20 Scarborough Southwest	75.23%	85.71%	Yes	No	Yes	Yes	Absent	Yes	Yes	Yes	Yes	Yes	Absent	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
05	Michael Thompson	Ward 21 Scarborough Centre	71.15%	78.81%	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	Yes	Absent	Absent	Yes	Yes	No	Yes	Yes
06	Frances Nunziata	Ward 5 York South-Weston	84.82%	90.15%	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
07	Paul Ainslie	Ward 24 Scarborough East	61.74%	74.60%	No	Yes	Yes	Yes	Absent	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes
08	Mark Grimes	Ward 3 Etobicoke-Lakeshore	78.64%	83.93%	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Absent	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Absent	Yes	Yes	No	Yes	Yes
09	Brad Bradford	Ward 19 Beaches-East York		NEW	No	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes
10	Cynthia Lai	Ward 23 Scarborough North		NEW	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes
11	James Pasternak	Ward 6 York Centre	58.82%	82.41%	No	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	Yes	No	Yes	Yes	Yes	Absent	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent
12	Denzil Minnan-Wong	Ward 16 Don Valley East	74.76%	85.00%	No	No	Yes	Yes	Absent	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Absent	Absent	Absent	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes
13	Anthony Perruzza	Ward 7 York-West	20.91%	47.46%	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Absent	Absent	Absent	Absent	Absent	Yes	Absent	Absent	Absent	Yes	Yes	Yes	Yes	Absent	Absent	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No
14	Jaye Robinson	Ward 15 Don Valley West	53.33%	84.75%	Yes	No	Absent	Absent	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes
15	Mike Colle	Ward 8 Eglinton-Lawrence		NEW	No	Yes	No	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
16	Stephen Holyday	Ward 2 Etobicoke Centre	NEW	71.97%	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Absent	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes
17	Shelley Carroll	Ward 17 Don Valley North	5.36%	44.09%	No	Yes	Absent	Absent	Absent	Absent	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Absent	Absent	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No
18	Michael Ford	Ward 1 Etobicoke North	100.00%	59.55%	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Absent	No	No	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Absent
19	Jim Karygiannis	Ward 22 Scarborough-Agincourt	NEW	70.18%	No	Yes	No	No	No	Yes	No	No	Yes	Yes	Absent	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Absent	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No
20	Paula Fletcher	Ward 14 Toronto-Danforth	3.74%	45.16%	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Absent	Absent	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Absent	Yes	Yes	No	Yes	Yes	No	No
21	Joe Cressy	Ward 10 Spadina-Fort York	NEW	42.86%	No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes
22	Mike Layton	Ward 11 University Rosedale	4.35%	39.37%	No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes
23	Josh Matlow	Ward 12 Toronto-St. Paul's	23.68%	57.60%	No	Yes	No	No	Yes	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes
24	Gord Perks	Ward 4 Parkdale-High Park	1.72%	41.67%	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No
25	Kristyn Wong-Tam	Ward 13 Toronto Centre	5.26%	39.84%	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No
26	John Filion	Ward 18 Willowdale	10.91%	65.87%	No	Yes	No	No	Yes	Yes	No	No	Yes	No	Absent	No	No	Yes	No	Yes	Yes	No	No	No	No	Yes	No	No	No	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	No	Absent